iter	MultiClass
0	2.035329101
1	1.868032819
2	1.73614659
3	1.630384596
4	1.549279271
5	1.479071572
6	1.415624193
7	1.362678053
8	1.316185438
9	1.275760574
10	1.239606649
11	1.208868483
12	1.177353389
13	1.154042404
14	1.129760891
15	1.107893908
16	1.085730033
17	1.067602883
18	1.047711605
19	1.033070448
20	1.017803532
21	1.000157566
22	0.9863168422
23	0.9744370193
24	0.9626926308
25	0.9512631899
26	0.9376474072
27	0.928048072
28	0.9197390857
29	0.9107962328
30	0.9018570953
31	0.8919532431
32	0.8825775692
33	0.875655651
34	0.8682659921
35	0.8592914939
36	0.8536883034
37	0.8476007886
38	0.842135344
39	0.8360212358
40	0.8305639065
41	0.8232652091
42	0.8183223396
43	0.813274572
44	0.8078668759
45	0.8023862179
46	0.7966173214
47	0.7918246905
48	0.78754194
49	0.7826518941
50	0.7784051487
51	0.7738828952
52	0.7699130723
53	0.7663926202
54	0.7625866347
55	0.7597568866
56	0.7571572514
57	0.7543303943
58	0.7506515531
59	0.7472394471
60	0.7444864218
61	0.7411177956
62	0.7377660682
63	0.7349319653
64	0.7314980253
65	0.7277317018
66	0.7244980498
67	0.7223094777
68	0.7182294917
69	0.7160672441
70	0.7135928259
71	0.7110305018
72	0.7082735336
73	0.7056600816
74	0.7022121871
75	0.6983906026
76	0.6958235708
77	0.6912490964
78	0.6881255503
79	0.6848346154
80	0.6818295143
81	0.6791517626
82	0.6768457707
83	0.6742443448
84	0.6717294175
85	0.6701748757
86	0.6671674952
87	0.664584662
88	0.662506338
89	0.6603068486
90	0.6576636673
91	0.6555362406
92	0.6534197182
93	0.6512444033
94	0.6495765977
95	0.6473304882
96	0.6458518864
97	0.6428578946
98	0.6409769631
99	0.6390336407
100	0.6363628611
101	0.6347378623
102	0.6328674899
103	0.6304486341
104	0.6287030946
105	0.6263205267
106	0.6241305969
107	0.6225705884
108	0.6210562923
109	0.619378607
110	0.6175402175
111	0.615650026
112	0.6145561705
113	0.6128212269
114	0.611167741
115	0.6087579493
116	0.6074538438
117	0.6052978001
118	0.603602907
119	0.6022068937
120	0.6008573963
121	0.5982280718
122	0.5956345205
123	0.5940054644
124	0.5924535267
125	0.5912797331
126	0.5896957203
127	0.5886014339
128	0.5873717155
129	0.5856630864
130	0.5844546823
131	0.5833811386
132	0.5820486124
133	0.5803389123
134	0.5782968358
135	0.5762809217
136	0.5744538317
137	0.5735357712
138	0.5718166141
139	0.5702170716
140	0.5687741685
141	0.5676377855
142	0.5662865192
143	0.5646004867
144	0.563517476
145	0.5620737918
146	0.5607455899
147	0.5584888274
148	0.5576283576
149	0.5556309541
150	0.5543085541
151	0.5530270533
152	0.5517291223
153	0.5506974239
154	0.5495063674
155	0.5484091249
156	0.5469964779
157	0.545920937
158	0.5439133951
159	0.5427393273
160	0.54154516
161	0.5401515878
162	0.5391621816
163	0.5378333345
164	0.5368102413
165	0.5356794831
166	0.5345655317
167	0.5336290518
168	0.5329279199
169	0.5319733921
170	0.5311527491
171	0.5299334341
172	0.5289000805
173	0.5276860439
174	0.5266484596
175	0.5248342057
176	0.5236785566
177	0.522707413
178	0.5215246276
179	0.520386648
180	0.5195354768
181	0.518325959
182	0.5172051342
183	0.5166482429
184	0.5155499802
185	0.5145690406
186	0.5129586297
187	0.5120629022
188	0.5108719744
189	0.5104133591
190	0.5093918275
191	0.5080356688
192	0.5071327741
193	0.5064186444
194	0.5056956339
195	0.5046529628
196	0.5034746654
197	0.5021587975
198	0.5010940512
199	0.5003417045
200	0.4995928126
201	0.4988872408
202	0.497739288
203	0.4969715087
204	0.4960143864
205	0.4949956283
206	0.4941124347
207	0.493032611
208	0.4920525633
209	0.4913557376
210	0.4902662288
211	0.4890454317
212	0.4883089523
213	0.4874379016
214	0.4868986989
215	0.4865367652
216	0.4858567964
217	0.4846141223
218	0.4839684552
219	0.4831631324
220	0.481884603
221	0.480947351
222	0.4792099576
223	0.478149826
224	0.4772933788
