iter	Passed	Remaining
0	225	225656
1	294	147085
2	363	120838
3	429	107012
4	497	99042
5	565	93695
6	634	90045
7	702	87170
8	770	84872
9	834	82639
10	901	81008
11	971	80018
12	1036	78704
13	1100	77475
14	1165	76521
15	1238	76164
16	1311	75842
17	1378	75219
18	1442	74455
19	1507	73862
20	1574	73403
21	1639	72889
22	1704	72400
23	1774	72151
24	1843	71887
25	1912	71647
26	1980	71379
27	2043	70939
28	2106	70520
29	2174	70292
30	2238	69970
31	2302	69660
32	2371	69491
33	2437	69260
34	2501	68978
35	2567	68750
36	2632	68517
37	2698	68309
38	2761	68052
39	2824	67793
40	2891	67633
41	2960	67529
42	3027	67385
43	3096	67274
44	3162	67123
45	3230	66992
46	3299	66900
47	3365	66755
48	3430	66589
49	3492	66365
50	3558	66206
51	3624	66076
52	3687	65882
53	3751	65720
54	3809	65457
55	3875	65333
56	3942	65218
57	4007	65089
58	4074	64983
59	4144	64926
60	4208	64782
61	4270	64603
62	4335	64485
63	4402	64392
64	4471	64327
65	4536	64193
66	4604	64123
67	4667	63974
68	4732	63856
69	4798	63745
70	4863	63631
71	4931	63562
72	4999	63485
73	5067	63409
74	5131	63288
75	5193	63141
76	5257	63024
77	5323	62928
78	5387	62808
79	5455	62733
80	5522	62655
81	5586	62545
82	5649	62418
83	5713	62304
84	5779	62211
85	5844	62114
86	5911	62034
87	5982	61998
88	6048	61907
89	6117	61852
90	6182	61752
91	6244	61628
92	6311	61551
93	6378	61475
94	6442	61369
95	6506	61272
96	6571	61175
97	6637	61087
98	6699	60975
99	6763	60868
100	6828	60782
101	6895	60703
102	6964	60654
103	7029	60562
104	7095	60477
105	7159	60384
106	7222	60280
107	7285	60172
108	7349	60077
109	7411	59968
110	7477	59888
111	7543	59810
112	7607	59719
113	7672	59627
114	7737	59546
115	7802	59463
116	7866	59367
117	7933	59295
118	7999	59221
119	8063	59133
120	8127	59042
121	8196	58986
122	8261	58908
123	8329	58846
124	8394	58763
125	8460	58686
126	8522	58585
127	8589	58515
128	8653	58427
129	8716	58336
130	8779	58237
131	8843	58155
132	8911	58093
133	8981	58044
134	9044	57950
135	9106	57851
136	9171	57772
137	9236	57693
138	9300	57608
139	9366	57534
140	9431	57460
141	9497	57385
142	9560	57294
143	9624	57214
144	9688	57128
145	9751	57040
146	9815	56955
147	9878	56870
148	9943	56790
149	10012	56734
150	10078	56667
151	10142	56584
152	10206	56500
153	10267	56405
154	10332	56330
155	10397	56250
156	10465	56194
157	10534	56137
158	10603	56087
159	10671	56023
160	10737	55957
161	10800	55871
162	10864	55789
163	10929	55711
164	10992	55626
165	11056	55550
166	11120	55469
167	11181	55377
168	11246	55302
169	11311	55226
170	11375	55145
171	11440	55075
172	11506	55004
173	11569	54922
174	11636	54856
175	11705	54803
176	11771	54734
177	11838	54670
178	11907	54616
179	11977	54562
180	12044	54497
181	12107	54418
182	12171	54337
183	12235	54263
184	12302	54195
185	12366	54119
186	12429	54038
187	12491	53952
188	12554	53872
189	12620	53805
190	12685	53731
191	12748	53650
192	12812	53572
193	12875	53493
194	12941	53424
195	13009	53367
196	13073	53291
197	13139	53222
198	13204	53149
199	13266	53065
200	13331	52993
201	13397	52925
202	13466	52871
203	13532	52802
204	13597	52733
205	13661	52656
206	13725	52581
207	13789	52507
208	13851	52425
209	13916	52354
210	13980	52277
211	14047	52214
212	14113	52147
213	14181	52087
214	14249	52026
215	14317	51965
216	14382	51896
217	14450	51836
218	14514	51762
219	14583	51703
220	14646	51626
221	14708	51547
222	14774	51479
223	14841	51414
224	14906	51344
225	14970	51270
226	15038	51211
227	15104	51143
228	15169	51072
229	15233	50999
230	15296	50923
231	15362	50855
232	15431	50798
233	15497	50732
234	15562	50661
235	15625	50583
236	15688	50509
237	15749	50425
238	15811	50345
239	15880	50287
240	15961	50267
241	16033	50219
242	16102	50163
243	16164	50084
244	16228	50011
245	16294	49942
246	16358	49869
247	16421	49794
248	16488	49730
249	16554	49662
250	16618	49591
251	16684	49524
252	16749	49452
253	16811	49376
254	16875	49303
255	16943	49241
256	17013	49186
257	17082	49128
258	17150	49068
259	17216	49001
260	17284	48938
261	17347	48864
262	17414	48800
263	17481	48736
264	17546	48668
265	17613	48602
266	17677	48529
267	17740	48454
268	17803	48381
269	17862	48296
270	17927	48225
271	17992	48155
272	18060	48094
273	18125	48025
274	18189	47954
275	18253	47883
276	18319	47816
277	18387	47753
278	18449	47678
279	18519	47621
280	18587	47559
281	18650	47485
282	18715	47417
283	18781	47350
284	18844	47275
285	18905	47198
286	18970	47129
287	19038	47066
288	19104	47001
289	19165	46923
290	19229	46850
291	19298	46791
292	19362	46720
293	19422	46639
294	19482	46559
295	19550	46499
296	19618	46435
297	19688	46380
298	19755	46316
299	19824	46258
300	19891	46192
301	19955	46121
302	20024	46063
303	20090	45997
304	20155	45927
305	20218	45855
306	20282	45783
307	20345	45710
308	20413	45649
309	20481	45588
310	20542	45509
311	20606	45439
312	20673	45376
313	20737	45304
314	20799	45229
315	20865	45164
316	20929	45094
317	20991	45020
318	21057	44953
319	21121	44884
320	21185	44813
321	21250	44745
322	21316	44677
323	21379	44606
324	21442	44534
325	21505	44462
326	21570	44394
327	21635	44326
328	21701	44260
329	21768	44196
330	21833	44128
331	21898	44061
332	21964	43995
333	22034	43936
334	22103	43876
335	22171	43816
336	22235	43744
337	22300	43676
338	22368	43614
339	22433	43548
340	22494	43472
341	22558	43401
342	22620	43328
343	22689	43267
344	22754	43199
345	22819	43133
346	22885	43067
347	22951	43001
348	23017	42934
349	23082	42868
350	23145	42796
351	23212	42731
352	23274	42659
353	23341	42594
354	23404	42522
355	23468	42454
356	23536	42391
357	23600	42322
358	23669	42262
359	23732	42190
360	23796	42122
361	23867	42064
362	23932	41997
363	23996	41928
364	24064	41866
365	24127	41795
366	24194	41731
367	24261	41665
368	24330	41605
369	24396	41540
370	24456	41463
371	24521	41396
372	24583	41324
373	24650	41259
374	24714	41190
375	24781	41127
376	24847	41060
377	24912	40994
378	24978	40927
379	25043	40860
380	25115	40804
381	25182	40740
382	25244	40668
383	25310	40601
384	25373	40532
385	25436	40460
386	25500	40392
387	25568	40330
388	25633	40263
389	25700	40198
390	25762	40126
391	25827	40058
392	25894	39994
393	25957	39924
394	26024	39859
395	26091	39795
396	26155	39728
397	26221	39661
398	26286	39594
399	26350	39525
400	26414	39456
401	26483	39395
402	26553	39336
403	26631	39288
404	26719	39254
405	26794	39201
406	26865	39143
407	26939	39087
408	27008	39026
409	27101	38999
410	27172	38940
411	27242	38880
412	27310	38816
413	27376	38750
414	27443	38685
415	27511	38622
416	27581	38560
417	27651	38499
418	27719	38436
419	27791	38378
420	27863	38320
421	27929	38253
422	27996	38189
423	28068	38130
424	28134	38064
425	28200	37998
426	28265	37930
427	28333	37866
428	28398	37798
429	28463	37730
430	28529	37664
431	28593	37595
432	28657	37525
433	28722	37458
434	28788	37391
435	28851	37321
436	28918	37256
437	28979	37184
438	29045	37117
439	29115	37056
440	29179	36987
441	29241	36915
442	29305	36846
443	29368	36777
444	29434	36710
445	29499	36642
446	29566	36577
447	29629	36508
448	29698	36445
449	29758	36371
450	29831	36314
451	29893	36242
452	29956	36172
453	30023	36107
454	30095	36048
455	30163	35984
456	30230	35919
457	30293	35849
458	30360	35784
459	30425	35716
460	30489	35647
461	30556	35583
462	30622	35516
463	30683	35445
464	30747	35375
465	30812	35308
466	30878	35242
467	30943	35175
468	31007	35106
469	31073	35039
470	31143	34978
471	31210	34913
472	31278	34849
473	31343	34782
474	31408	34714
475	31475	34649
476	31539	34580
477	31603	34512
478	31667	34444
479	31732	34377
480	31797	34309
481	31863	34243
482	31929	34177
483	31994	34110
484	32062	34045
485	32128	33979
486	32195	33914
487	32263	33849
488	32329	33783
489	32397	33719
490	32464	33654
491	32526	33584
492	32593	33518
493	32656	33449
494	32720	33381
495	32788	33316
496	32855	33252
497	32919	33184
498	32983	33115
499	33046	33046
500	33113	32981
501	33179	32914
502	33245	32848
503	33310	32782
504	33375	32714
505	33442	32649
506	33510	32584
507	33573	32516
508	33637	32447
509	33700	32379
510	33768	32315
511	33836	32250
512	33900	32182
513	33965	32115
514	34033	32051
515	34100	31986
516	34169	31922
517	34232	31852
518	34297	31786
519	34357	31714
520	34423	31648
521	34488	31581
522	34554	31515
523	34615	31444
524	34683	31380
525	34748	31313
526	34810	31243
527	34876	31177
528	34939	31109
529	35004	31041
530	35069	30975
531	35137	30910
532	35218	30857
533	35289	30795
534	35354	30728
535	35419	30661
536	35481	30592
537	35549	30527
538	35612	30459
539	35677	30391
540	35743	30326
541	35807	30257
542	35877	30195
543	35951	30135
544	36015	30068
545	36082	30002
546	36152	29940
547	36222	29877
548	36290	29812
549	36359	29749
550	36430	29686
551	36496	29620
552	36563	29554
553	36625	29485
554	36691	29418
555	36758	29353
556	36823	29286
557	36887	29218
558	36951	29151
559	37013	29081
560	37075	29013
561	37141	28946
562	37209	28882
563	37279	28818
564	37339	28748
565	37405	28681
566	37471	28615
567	37534	28547
568	37599	28480
569	37664	28413
570	37728	28345
571	37795	28280
572	37860	28213
573	37927	28148
574	37992	28081
575	38055	28013
576	38122	27947
577	38186	27880
578	38252	27814
579	38316	27746
580	38380	27678
581	38446	27612
582	38507	27542
583	38571	27475
584	38637	27409
585	38706	27345
586	38775	27281
587	38842	27216
588	38912	27153
589	38979	27087
590	39042	27019
591	39107	26952
592	39172	26885
593	39238	26819
594	39307	26755
595	39374	26689
596	39439	26623
597	39506	26557
598	39571	26491
599	39636	26424
600	39702	26358
601	39771	26294
602	39835	26226
603	39902	26161
604	39968	26095
605	40034	26029
606	40095	25960
607	40161	25893
608	40227	25827
609	40297	25764
610	40356	25693
611	40421	25626
612	40490	25562
613	40559	25498
614	40627	25433
615	40693	25367
616	40758	25300
617	40823	25233
618	40887	25166
619	40950	25098
620	41014	25031
621	41078	24963
622	41140	24895
623	41208	24830
624	41273	24764
625	41335	24695
626	41400	24629
627	41462	24560
628	41527	24494
629	41592	24427
630	41658	24361
631	41726	24296
632	41791	24230
633	41857	24163
634	41923	24097
635	41988	24031
636	42052	23964
637	42116	23896
638	42181	23830
639	42248	23764
640	42315	23699
641	42382	23633
642	42448	23567
643	42514	23501
644	42581	23436
645	42645	23368
646	42710	23302
647	42772	23234
648	42833	23165
649	42897	23098
650	42956	23029
651	43023	22963
652	43093	22899
653	43162	22835
654	43233	22771
655	43302	22707
656	43369	22641
657	43429	22573
658	43498	22508
659	43562	22441
660	43622	22372
661	43684	22304
662	43748	22236
663	43812	22170
664	43875	22102
665	43941	22036
666	44009	21971
667	44073	21904
668	44135	21836
669	44204	21772
670	44270	21706
671	44336	21640
672	44407	21576
673	44470	21509
674	44535	21443
675	44604	21378
676	44666	21310
677	44731	21244
678	44799	21179
679	44862	21111
680	44928	21045
681	44989	20977
682	45053	20910
683	45119	20844
684	45186	20779
685	45256	20714
686	45316	20646
687	45382	20580
688	45448	20514
689	45510	20446
690	45574	20379
691	45640	20313
692	45707	20248
693	45776	20183
694	45842	20118
695	45910	20052
696	45977	19987
697	46039	19919
698	46104	19853
699	46169	19786
700	46239	19722
701	46304	19656
702	46369	19590
703	46435	19523
704	46499	19457
705	46564	19391
706	46627	19323
707	46691	19257
708	46757	19191
709	46821	19124
710	46898	19062
711	46971	18999
712	47038	18934
713	47106	18869
714	47181	18806
715	47254	18743
716	47322	18678
717	47393	18614
718	47459	18547
719	47530	18484
720	47600	18419
721	47671	18355
722	47741	18290
723	47809	18225
724	47879	18161
725	47945	18094
726	48010	18028
727	48074	17961
728	48143	17897
729	48208	17830
730	48280	17766
731	48344	17699
732	48414	17635
733	48480	17569
734	48548	17503
735	48616	17438
736	48684	17373
737	48754	17308
738	48821	17242
739	48893	17178
740	48960	17112
741	49029	17047
742	49100	16983
743	49173	16919
744	49245	16855
745	49311	16789
746	49380	16724
747	49448	16659
748	49515	16593
749	49581	16527
750	49646	16460
751	49715	16395
752	49783	16329
753	49848	16263
754	49916	16198
755	49985	16132
756	50054	16067
757	50120	16001
758	50186	15935
759	50256	15870
760	50324	15804
761	50390	15738
762	50456	15672
763	50524	15607
764	50593	15541
765	50658	15475
766	50732	15411
767	50804	15347
768	50881	15284
769	50960	15221
770	51037	15159
771	51113	15095
772	51209	15038
773	51294	14977
774	51375	14915
775	51454	14852
776	51527	14788
777	51605	14725
778	51686	14663
779	51765	14600
780	51850	14539
781	51920	14473
782	51998	14410
783	52084	14349
784	52155	14284
785	52225	14219
786	52298	14154
787	52364	14088
788	52430	14021
789	52498	13955
790	52563	13888
791	52628	13821
792	52691	13754
793	52756	13687
794	52823	13621
795	52888	13554
796	52956	13488
797	53026	13422
798	53094	13356
799	53163	13290
800	53234	13225
801	53312	13161
802	53380	13095
803	53444	13028
804	53514	12963
805	53581	12896
806	53643	12829
807	53707	12762
808	53775	12696
809	53844	12630
810	53909	12563
811	53973	12496
812	54040	12429
813	54112	12364
814	54193	12301
815	54277	12239
816	54364	12177
817	54450	12114
818	54532	12051
819	54613	11988
820	54691	11924
821	54760	11858
822	54836	11793
823	54908	11728
824	54987	11664
825	55065	11599
826	55137	11534
827	55208	11468
828	55279	11402
829	55353	11337
830	55421	11271
831	55491	11204
832	55561	11138
833	55632	11073
834	55699	11006
835	55762	10939
836	55831	10872
837	55892	10804
838	55956	10737
839	56022	10670
840	56088	10604
841	56153	10537
842	56220	10470
843	56288	10404
844	56354	10337
845	56424	10271
846	56490	10204
847	56556	10137
848	56617	10069
849	56681	10002
850	56745	9935
851	56810	9868
852	56877	9801
853	56945	9735
854	57010	9668
855	57079	9602
856	57147	9535
857	57216	9469
858	57283	9402
859	57352	9336
860	57421	9270
861	57489	9203
862	57559	9137
863	57626	9070
864	57695	9004
865	57762	8937
866	57828	8871
867	57896	8804
868	57961	8737
869	58028	8670
870	58097	8604
871	58162	8537
872	58226	8470
873	58293	8403
874	58359	8337
875	58428	8270
876	58495	8203
877	58560	8137
878	58627	8070
879	58689	8003
880	58753	7936
881	58819	7869
882	58884	7802
883	58949	7735
884	59017	7668
885	59084	7602
886	59155	7536
887	59218	7469
888	59283	7402
889	59351	7335
890	59415	7268
891	59478	7201
892	59542	7134
893	59610	7067
894	59678	7001
895	59743	6934
896	59808	6867
897	59875	6800
898	59938	6733
899	60003	6667
900	60069	6600
901	60135	6533
902	60220	6468
903	60285	6401
904	60352	6335
905	60416	6268
906	60478	6201
907	60544	6134
908	60608	6067
909	60672	6000
910	60740	5934
911	60808	5867
912	60891	5802
913	60961	5735
914	61027	5669
915	61095	5602
916	61162	5535
917	61230	5469
918	61294	5402
919	61359	5335
920	61427	5269
921	61494	5202
922	61562	5135
923	61628	5069
924	61692	5002
925	61760	4935
926	61825	4868
927	61891	4801
928	61957	4735
929	62026	4668
930	62100	4602
931	62169	4535
932	62240	4469
933	62311	4403
934	62380	4336
935	62443	4269
936	62506	4202
937	62572	4135
938	62637	4069
939	62702	4002
940	62766	3935
941	62832	3868
942	62898	3801
943	62962	3735
944	63029	3668
945	63095	3601
946	63163	3534
947	63233	3468
948	63301	3401
949	63365	3335
950	63433	3268
951	63495	3201
952	63559	3134
953	63623	3067
954	63688	3001
955	63754	2934
956	63825	2867
957	63894	2801
958	63965	2734
959	64034	2668
960	64102	2601
961	64170	2534
962	64238	2468
963	64302	2401
964	64371	2334
965	64440	2268
966	64510	2201
967	64577	2134
968	64639	2067
969	64705	2001
970	64773	1934
971	64840	1867
972	64904	1801
973	64971	1734
974	65041	1667
975	65111	1601
976	65178	1534
977	65241	1467
978	65305	1400
979	65372	1334
980	65440	1267
981	65504	1200
982	65570	1133
983	65638	1067
984	65708	1000
985	65775	933
986	65841	867
987	65908	800
988	65974	733
989	66041	667
990	66106	600
991	66174	533
992	66239	466
993	66302	400
994	66366	333
995	66431	266
996	66493	200
997	66559	133
998	66626	66
999	66688	0
